They usually generate user models that describe user interests according to a set of features OntologyBased Recommendation of Editorial Products	0
The Computer Science Ontology CSOis a largescale and granular ontology of research topics that was created automatically by running the Klink algorithm on the Rexplore dataset OntologyBased Recommendation of Editorial Products	0
In order to do so we characterized all SN publications according to their associated research topics by exploiting the Computer Science Ontology CSO a largescale automatically generated taxonomy of research areas OntologyBased Recommendation of Editorial Products	0
This API supports a number of applications including Smart Book Recommender Smart Topic Miner  the TechnologyTopic Framework OntologyBased Recommendation of Editorial Products a system that forecasts the propagation of technologies across research communities and the Pragmatic Ontology Evolution Framework  an approach to ontology evolution that is able to select new concepts on the basis of their contribution to specific computational tasks	1
It works according to three main steps It represents journals books and conferences according to the metadata of their chaptersarticles and uses the Smart Topic API OntologyBased Recommendation of Editorial Products to characterize each of them with a semantically enhanced topic vector	1
OntologyBased Recommendation of Editorial Products propose a hybrid recommendation model in which user preferences are described in terms of semantic concepts defined in domain ontologies	0
OntologyBased Recommendation of Editorial Products propose RecomMetz a contextaware mobile recommender system based on Semantic Web technologies	0
OntologyBased Recommendation of Editorial Products describe OntobUM an ontologybased recommender that integrates three ontologies i the user ontology which structures the characteristics of users and their relationships ii the domain ontology which defines the domain concepts and their relationships and iii the log ontology which defines the semantics of the user interactions with the system	1
OntologyBased Recommendation of Editorial Products use a different strategy by representing user profiles as bagsofwords and weighing each term according to the user interests derived from a domain ontology	0
The main advantages of these solutions are i the ability to exploit the domain knowledge for improving the user modelling process ii the ability to share and reuse system knowledge and iii the alleviation of the coldstart and data sparsity problems OntologyBased Recommendation of Editorial Products	0
With the advent of the Semantic Web several recommender systems started to adopt ontologies for representing both user interests and items OntologyBased Recommendation of Editorial Products	1
They are typically classified as collaborative filtering approaches contentbased filtering approaches and hybrid approaches OntologyBased Recommendation of Editorial ProductsContentbased recommender systems  rely on a preexisting domain knowledge to suggest items more similar to the ones that the user seems to like	0
They are typically classified as collaborative filtering approaches contentbased filtering approaches and hybrid approaches Contentbased recommender systems OntologyBased Recommendation of Editorial Products rely on a preexisting domain knowledge to suggest items more similar to the ones that the user seems to like	0
Related WorkRecommender systems are software tools and methods which provide suggestions for items to users according to their preferences and needs OntologyBased Recommendation of Editorial Products	0
We are thus exploring the option of using datasets such as CrossRef   Dimensions   OpenCitations  and Core OntologyBased Recommendation of Editorial Products	0
We are thus exploring the option of using datasets such as CrossRef   Dimensions   OpenCitations OntologyBased Recommendation of Editorial Products and Core 	0
We assess the similarity of two semantic vectors using the cosine similarity OntologyBased Recommendation of Editorial Products since this measure relies on the orientation but not the magnitude of the topic weights in the vector space allowing us to compare editorial products associated with a different number of chapters	0
We use the persistent identifiers for conferences and conference series introduced in the Linked Open Data Conference Portal  and recently migrated to SciGraph OntologyBased Recommendation of Editorial Products	0
We use the persistent identifiers for conferences and conference series introduced in the Linked Open Data Conference Portal OntologyBased Recommendation of Editorial Products and recently migrated to SciGraph 	0
This API supports a number of applications including Smart Book Recommender Smart Topic Miner  the TechnologyTopic Framework  a system that forecasts the propagation of technologies across research communities and the Pragmatic Ontology Evolution Framework OntologyBased Recommendation of Editorial Products an approach to ontology evolution that is able to select new concepts on the basis of their contribution to specific computational tasks	0
 applied cards to create innovative ways to teach mathematics Codesigning Cards on Social Issues for Creating Educational Games and Arrasvuori  to support the design for playfulness both Golembewski and Selby  and Roubira  used cards as an inspiration tool to define and explore preliminary design ideas and Halskov and Dalsgrd  to explore how to apply technology to concepts from domain studiesIn Deng et al	0
Everyday sexism as a social issueEveryday sexism rests on the concept that sexism is either faced or reproduced on a daily basis but is rarely noticed  Barreto et al Codesigning Cards on Social Issues for Creating Educational Games and Swim 	0
Adhering to Participatory Design principles  Codesigning Cards on Social Issues for Creating Educational Games  in order to transcribe diversified experiences and knowledge on the cards could be seen as an efficient approach to design such cardsUsing participatory approaches to design cards has been described as having the potential to enable more engaging and effective design experiences and results Chow et al Golembewski and Selby Halskov and Dalsgrd 	1
Following the process of reflection presented by Codesigning Cards on Social Issues for Creating Educational Games  in the new version the first word of  questions were added as a visual prompt	1
The lived experiences were extracted from a website called everydaysexismcom where people shared their experiences on everyday sexism  Codesigning Cards on Social Issues for Creating Educational Games et al 	0
A study compared PLEX Cards which contain a definition and an informative illustration and DIXIT Cards which represent abstract illustrations and found similar results in terms of numbers of ideas generated  Codesigning Cards on Social Issues for Creating Educational Games et al 	0
Identifying everyday sexism and its different forms empathising with other peoples experiences and reflecting on them are seen as possible ways to contribute to gender equality  Becker and Swim Codesigning Cards on Social Issues for Creating Educational Games et al 	0
Most of the participatory models to design educational games are founded on educational theories and game design see for example Amory  Codesigning Cards on Social Issues for Creating Educational Games et al 	0
Yet it represents a challenge as best practices to codesign such games which require technical conceptual and educational skills still have to be defined  Carvalho et al  Codesigning Cards on Social Issues for Creating Educational Games 	1
Some more recent models though have also included domain experts to define the learning content of the educational game Codesigning Cards on Social Issues for Creating Educational Games et al 	1
Yet it represents a challenge as best practices to codesign such games which require technical conceptual and educational skills still have to be defined  Codesigning Cards on Social Issues for Creating Educational Games et al DeSmet et al 	1
Everyday sexism as a social issueEveryday sexism rests on the concept that sexism is either faced or reproduced on a daily basis but is rarely noticed  Codesigning Cards on Social Issues for Creating Educational Games et al Becker and Swim 	0
Peer review and citation data in predicting university rankings a largescale analysis used departmental hindex aggregation to predict REF rankings	1
Furthermore the PRFS in Norway and Australia are both used for research evaluation but are not used for funding distribution Peer review and citation data in predicting university rankings a largescale analysis	0
Peer review and citation data in predicting university rankings a largescale analysis recently completed an investigation that collected total citation counts from Google Scholar GS for the top  academics  from each UK institute and he found strong correlations with overall REF rankings	0
Peer review and citation data in predicting university rankings a largescale analysis finds only weak to moderate correlation with results from the New Zealand PRFS and a range of traditional journal rankings	0
Contrary to Anderson Peer review and citation data in predicting university rankings a largescale analysis  used citations from Google Scholar GS and correlated these against the results from the New Zealand PRFS in 	0
The rankings are of critical importance to the institutes as approximately  billion in QR funding from central government is distributed annually entirely on the basis of the REF results Peer review and citation data in predicting university rankings a largescale analysis	0
An ad hoc study by Peer review and citation data in predicting university rankings a largescale analysis also found a moderate to strong correlation between departmental research funding based on the results of the UKs Research Assessment and Evaluation RAE exercise conducted in  and departmental hindex	0
Additionally studies by Peer review and citation data in predicting university rankings a largescale analysis and   We systematically queried the MAG Evaluate API for each submission using a normalised version of the publications title lower case diacritics removed	0
DiscussionIt has been shown in  Peer review and citation data in predicting university rankings a largescale analysis and that many bibliometric indicators show little correlation with peer review judgments at the article level	0
Several studies including The Metric Tide  The Peer review and citation data in predicting university rankings a largescale analysis Report  and the HEFCE pilot study  all state that metrics should be used as an additional component in research evaluation with peer review remaining as the central pillar	0
Yet peer review has been shown by Peer review and citation data in predicting university rankings a largescale analysis  and  amongst others to exhibit many forms of bias including institutional bias gender  age related bias and bias against interdisciplinary research	0
Yet peer review has been shown by  Peer review and citation data in predicting university rankings a largescale analysis and  amongst others to exhibit many forms of bias including institutional bias gender  age related bias and bias against interdisciplinary research	0
Yet peer review has been shown by   and Peer review and citation data in predicting university rankings a largescale analysis amongst others to exhibit many forms of bias including institutional bias gender  age related bias and bias against interdisciplinary research	0
